"Heteroskedastic","Stratification","N","Method","beta0.Bias","beta0.SE","beta0.RMSE","beta1.Bias","beta1.SE","beta1.RMSE","Q.Bias","Q.SE","Q.RMSE","size1.HC0","size1.HC3","size2.HC0","size2.HC3","power1.HC0","power1.HC3"
TRUE,"Y",50,"OLS",-0.147611036970024,0.358395562758018,0.38743767274311,-0.134366893640549,0.475313608850965,0.493712027237315,NA,NA,NA,0.292,0.141,0.495,0.324,0.696,0.509
TRUE,"Y",50,"GMM",0.00699127209253975,0.412633639354178,0.412486523042656,-0.0373046637671322,0.463049854379344,0.464319276373348,0.0261115859505882,0.0906356268719648,0.0942784013572064,0.308,0.15,0.305,0.15,0.791,0.55
TRUE,"Y",150,"OLS",-0.170156191596396,0.261510693430119,0.311885531043222,-0.102317139502889,0.296859434879747,0.313856966768462,NA,NA,NA,0.182,0.124,0.707,0.653,0.901,0.808
TRUE,"Y",150,"GMM",-0.00117417943393447,0.292177052728251,0.292033288185045,-0.00464402820092215,0.275635834878626,0.275537121552975,0.00920366009263868,0.0497043019655707,0.0505247907007201,0.175,0.107,0.166,0.109,0.974,0.907
TRUE,"Y",500,"OLS",-0.164314402529165,0.160997491025542,0.229985857832431,-0.102974227990741,0.176538915942027,0.204300059920288,NA,NA,NA,0.161,0.121,0.981,0.979,0.997,0.985
TRUE,"Y",500,"GMM",0.0118684612089507,0.186189627905008,0.186474586293506,-0.00938056802678847,0.168284551090639,0.168461762730144,0.00355497540024619,0.0272658762911146,0.0274831299529147,0.113,0.087,0.111,0.093,1,1
TRUE,"X",50,"OLS",0.008823698165546,0.287431099382918,0.287422820779591,-0.0132721947739085,0.398811648175837,0.398833086822198,NA,NA,NA,0.237,0.108,0.224,0.1,0.857,0.717
TRUE,"X",50,"GMM",0.01184710162431,0.382556814612792,0.382548977919398,-0.0157555732044152,0.469142368502579,0.469172362196758,0.063086000981919,0.12425441032651,0.13929667206001,0.313,0.137,0.3,0.121,0.808,0.595
TRUE,"X",150,"OLS",-0.00323693100845972,0.194208704213462,0.194138562614008,0.00459739045922632,0.251157173029257,0.251073657792925,NA,NA,NA,0.155,0.097,0.123,0.078,0.976,0.938
TRUE,"X",150,"GMM",-0.00568993398250383,0.271904923222409,0.27182849433795,0.00575159260170774,0.290603239341269,0.29051484177298,0.0272719982794802,0.0651601349707149,0.0706070763901775,0.171,0.103,0.159,0.08,0.955,0.89
TRUE,"X",500,"OLS",0.00482787252965031,0.133761053113446,0.133781297885208,-0.00435741346015265,0.161145618463443,0.161123956914167,NA,NA,NA,0.117,0.085,0.094,0.075,0.998,0.995
TRUE,"X",500,"GMM",0.00709890550428225,0.195292803613072,0.195324177518477,-0.00464186438097629,0.181721194993004,0.181689617265013,0.0115552076025336,0.0360685613396084,0.0378571393363211,0.122,0.092,0.107,0.073,0.996,0.989
FALSE,"Y",50,"OLS",-0.446009505589332,0.331877814323887,0.555839203216902,0.0786845952250205,0.322851414624907,0.332144649836639,NA,NA,NA,0.192,0.091,0.508,0.394,0.91,0.827
FALSE,"Y",50,"GMM",-0.0356172560517198,0.400142102405144,0.401524815352358,-0.00124332283356487,0.338778733187605,0.338611584092757,0.0316714516602178,0.0923569774851093,0.0975928395383612,0.201,0.095,0.245,0.13,0.901,0.782
FALSE,"Y",150,"OLS",-0.453000951246894,0.163853461316349,0.48169593174445,0.0962257409963488,0.111624371905999,0.147332731031844,NA,NA,NA,0.218,0.148,0.806,0.776,1,1
FALSE,"Y",150,"GMM",-0.0129239169820856,0.187657359095978,0.18800823590634,0.00534490584217236,0.114880897781027,0.114947775414583,0.00986350553141419,0.0491822220526304,0.0501374193236593,0.119,0.079,0.113,0.069,1,1
FALSE,"Y",500,"OLS",-0.437257049434015,0.0875910623178169,0.445935252344448,0.0848854676999697,0.0553155381102915,0.101302969227547,NA,NA,NA,0.416,0.377,0.999,0.999,1,1
FALSE,"Y",500,"GMM",0.00085852072059747,0.100785281059851,0.100738534152838,-0.000596362331002356,0.0559401521845429,0.0559153554386738,0.00423368429000809,0.0266763270360834,0.0269970161384439,0.068,0.056,0.076,0.06,1,1
FALSE,"X",50,"OLS",0.00446761431828409,0.280579820936459,0.280475079924252,-0.00690500516272244,0.278640413785735,0.278586645068977,NA,NA,NA,0.133,0.069,0.14,0.079,0.922,0.851
FALSE,"X",50,"GMM",0.00566376154129704,0.293860044262436,0.293767680460434,-0.00805662883260089,0.297466545037619,0.297426912600974,0.063086000981919,0.12425441032651,0.13929667206001,0.216,0.098,0.219,0.105,0.926,0.806
FALSE,"X",150,"OLS",0.000708075770223453,0.149856061914404,0.149782788812659,0.000271462670200478,0.124059621019599,0.123997872844418,NA,NA,NA,0.095,0.068,0.085,0.062,1,1
FALSE,"X",150,"GMM",-0.000483031593982052,0.156071953703658,0.155994646054487,0.00107893266838852,0.129140566692097,0.12908048952221,0.0272719982794802,0.0651601349707149,0.0706070763901775,0.122,0.077,0.107,0.072,1,0.998
FALSE,"X",500,"OLS",0.00359422243595547,0.0767028327036486,0.0767486785237262,-0.00172485105111985,0.051887298194124,0.0518900234469075,NA,NA,NA,0.071,0.063,0.075,0.061,1,1
FALSE,"X",500,"GMM",0.00339676249694123,0.0812959737889444,0.0813262830479733,-0.00125348856432175,0.0538897395269773,0.0538773714637236,0.0115552076025336,0.0360685613396084,0.0378571393363211,0.08,0.066,0.079,0.068,1,1
